微博id,发布者,微博正文,原始图片url,被转发微博原始图片url,是否为原创微博,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Jp8lXmwEM,心静心净心境9,心静心净心境9:#周九良[超话]# 第八期还是九良和九熙搭档啊！还能再看③期，就和团综说拜拜了，不舍啊[委屈]  [组图共2张] 原图 ,无,无,True,无,2020-10-14 12:18 ,周九良超话,35,1,13
Jp8gudwLQ,德云社的专用托,德云社的专用托:#熙良[超话]# ！！！我才发现这个华点！！好巧不巧熙熙和九良关系是真的好（xsbb：乍一看还以为熙熙搭着九良，仔细一看哦～是四哥）  原图 ,无,无,True,无,2020-10-14 12:04 ,熙良超话,0,0,0
Jp8gjAewt,乐居网南昌,乐居网南昌:#金九银十买好房# 土拍快讯 | 熙之峰置业获九龙湖西客站12亩地 楼面价2359元/㎡10月14日，红谷滩区西客站片区婺源路以东、平安东二街以南地块（HJZ703-D03地块）在江西省土地使用权和矿业权网上交易系统正式开拍，面积约11.997亩，起拍楼面价约2081元/㎡。最终，江西省熙之峰置业有限公司以0.75亿元竞得该宗地，溢价率13.33%，成交楼面价2359元/㎡。http://t.cn/A6b9cUmp [组图共2张] 原图 ,无,无,True,无,2020-10-14 12:04 ,微博 weibo.com,0,0,0
Jp83JoQ1J,尚九熙个人粉丝数记录博,尚九熙个人粉丝数记录博:#尚九熙[超话]##尚九熙德云斗笑社#  截止到10月14日11时30分，尚老师粉丝数：2503034，相比昨日+1707  原图 ,无,无,True,无,2020-10-14 11:33 ,尚九熙超话,36,0,7
Jp7ZWgBIG,也啊野,也啊野:#尚九熙[超话]# [打call]#别人模仿不了的是尚九熙# 你是我所有的浪漫所向唯爱尚九熙  原图 ,无,无,True,无,2020-10-14 11:23 ,尚九熙超话,0,0,0
Jp7Zp9Rd6,德云小榴莲,德云小榴莲:#尚九熙[超话]##别人模仿不了的是尚九熙# 别人有的，九熙也要有[doge]偶然听到《处处吻》，感觉跟九熙也很搭，就剪了一个视频不知道你们怎么想，反正我看完彻底乱了 常州 德云小榴莲的微博视频  显示地图 ,无,无,True,#别人模仿不了的是尚九熙#,2020-10-14 11:22 ,尚九熙超话,74,3,20
Jp7YCESsl,随遇而安_0404,随遇而安_0404:#尚九熙[超话]# [打call]#别人模仿不了的是尚九熙# #尚九熙德云斗笑社# 定制跟拍相册来了！！大家快去doki！好多漂亮崽崽可爱崽崽！！！  [组图共2张] 原图 ,无,无,True,无,2020-10-14 11:20 ,尚九熙超话,4,0,3
Jp7Wug2Lg,小鱼儿跑跑,小鱼儿跑跑:#尚九熙[超话]# [给你小心心]#别人模仿不了的是尚九熙# 翻看着去年的照片～不管在哪个舞台，你都是独一无二～#尚九熙德云断头台# 2019.1225|常州抱图吱～  [组图共3张] 原图 ,无,无,True,无,2020-10-14 11:15 ,尚九熙超话,32,0,8
Jp7V1jKap,鸭鸭www,鸭鸭www:看王阿贤拿企鹅剪纣王，还在激动企鹅终于不是悲情帝王了，结果什么时候纣王也这么惨了啊啊啊啊啊啊！！！悄咪咪在尊九夹缝中磕一口熙幂  ,无,无,True,无,2020-10-14 11:11 ,小米8 SE,0,0,4
Jp7UuwLx7,戴耳钉的大鹅呀,"转发理由:孟鹤堂栾云平大林是什么梦幻组合 九良九熙又在一起了  
原始用户: 不约儿童的大松子儿
转发内容: #德云斗笑社# 这一期的节目单嘛尚九熙、周九良张鹤伦、秦霄贤烧饼、曹鹤阳、杨九郎孟鹤堂、栾云平、郭麒麟  [组图共3张] 原图 ",无,无,False,无,2020-10-14 11:10 ,微博国际版,20,1,3
Jp7SBqnRk,尚九熙打投组,尚九熙打投组:#尚九熙[超话]#[打call]#尚九熙德云斗笑社# 【20.10.12打投任务进度总汇】打投任务具体细节及教程请移步http://t.cn/A64XA8BQ星粉守护榜本周打榜，每天做任务囤票，周日组织统一冲榜，打投人多力量大，希望大家多多参与进来！公益任务也不要忘记！头友们日常任务做起来啦～打投努努力，数据争争气，尚九熙早晚出人头地；今天你泄气，明天她不急，尚九熙如何登峰造极！关注@尚九熙打投组 ，跟进榜单任务进程不迷路 原图 ,无,无,True,无,2020-10-14 11:05 ,尚九熙超话,16,0,8
Jp7Sh7AQz,鹿凌Brianna,鹿凌Brianna:#尚九熙[超话]##尚九熙德云斗笑社# 他来了他来了他带着大葱和炸鸡走来了欢迎大家补充 鹿凌Brianna的微博视频  ,无,无,True,无,2020-10-14 11:05 ,尚九熙超话,19,0,1
Jp7Ne7DIU,福团儿,福团儿:#熙结良缘[超话]# 新一期团综九熙和九良又搭啦哈哈哈  原图 ,无,无,True,无,2020-10-14 10:52 ,熙结良缘超话,0,0,0
Jp7MC3RrY,亓念之初,亓念之初:#尚九熙[超话]##别人模仿不了的是尚九熙# [打call]#尚九熙德云断头台# 这个手🤲   这个jio🦶   这个嘴巴👄 这个胡茬    这个喉结    这个boy👦🏻 我不对劲我不对劲  [组图共6张] 原图 ,无,无,True,无,2020-10-14 10:51 ,尚九熙超话,70,2,36
Jp7Mc0m7J,可爱的阿丢,可爱的阿丢:九熙西装杀我！！！  ,无,无,True,无,2020-10-14 10:50 ,iPhone客户端,0,0,0
Jp7IajRWS,恋恋口条,恋恋口条:【#德云斗笑社#】岳云鹏套路深，拿人钱财替人办事，于谦神辅助，九熙感动得泪汪汪 恋恋口条的微博视频  ,无,无,True,无,2020-10-14 10:40 ,微博网页,0,0,0
Jp7ESuRgZ,是奶熙呀,"转发理由:九熙的拍照姿势真难拿捏 #别人模仿不了的是尚九熙# 评论配图  
原始用户: 贾安琪你又来了
转发内容: 杀青啦～德运大男孩们我们江湖再见啦～  [组图共14张] 原图 ",无,无,False,无,2020-10-14 10:32,无,4,0,0
Jp7C1pnbR,笑死菌,笑死菌:#德云斗笑社#【尚九熙】下面请观看“小企鹅图鉴”表演者：尚九熙九熙也太萌了吧~cr：b站，侵删歉 笑死菌的微博视频  ,无,无,True,无,2020-10-14 10:24 ,德云社超话,2,0,1
Jp7usfnCO,蚌殼精de漂流瓶_陈信宏的Kitty,蚌殼精de漂流瓶_陈信宏的Kitty:昨天梦到九齡九龙九熙九齡让我喊他“xx姐夫”我忘记xx是什么名字了我还在问xx是谁坐在我身边的九龙让我快点喊然后醒了  ,无,无,True,无,2020-10-14 10:06 ,iPhone客户端,0,0,0
Jp7slyooz,璇北鼻要以梦为马,璇北鼻要以梦为马:高杨直播，说自己小时候能跟恐龙玩一下午，尚九熙直播拢共半小时，大概说了五分钟恐龙，还介绍了自己最爱的恐龙，我觉得我上辈子可能是个恐龙，不然不能喜欢他俩  ,无,无,True,无,2020-10-14 10:01 ,iPhone X,0,0,0
Jp7iWhyR4,寒轩-LL,寒轩-LL:#尚九熙[超话]#  #别人模仿不了的是尚九熙#  🍃惊才风逸          独一无二早上好呀☀️#尚九熙德云断头台#  [组图共6张] 原图 ,无,无,True,无,2020-10-14 09:37 ,尚九熙超话,19,0,9
Jp7iIrtIO,春霞這傢伙笑起來巨甜,春霞這傢伙笑起來巨甜:#尚九熙[超话]# 独一无二尚九熙的直播活生生把我熬成一个老母亲式唠嗑视频[求饶]#别人模仿不了的是尚九熙# 直男式爱你么么哒#尚九熙直播# “妹穿秋裤”尚九熙他是不是想起了那句想姥爷mèi。 春霞這傢伙笑起來巨甜的微博视频  ,无,无,True,无,2020-10-14 09:37 ,尚九熙超话,19,1,4
Jp7ej5CXV,尚九熙的熊,"转发理由://@紫旋Morado_：#尚九熙德云断头台#  愿你能找到少年时心里的小恐龙 和剑龙的背上的剑   
原始用户: 紫旋Morado_
转发内容: #尚九熙德云断头台# 愿你能找到少年时心里的小恐龙和剑龙的背上的剑  [组图共2张] 原图 ",无,无,False,无,2020-10-14 09:26 ,超话,0,0,0
Jp7dlDww0,薛只倩,薛只倩:#尚九熙[超话]#🍬#尚九熙德云断头台# 英语老师下课放see you again我老是想起来尚熙熙的再瞅一回脑子里就开始播放《学歌曲》太出戏了喂  原图 ,无,无,True,无,2020-10-14 09:24 ,华为畅享10 Plus,2,0,0
Jp75D1ii6,东尊颖瞳,"转发理由:时间太短了，我还没看够呢，九熙  
原始用户: 师傅的相声社
转发内容: #尚九熙# #郭麒麟# 九熙直播连线大林~9C，请多喝热水~（直男警告！！！）我太吃这个发型了~ 师傅的相声社的微博视频  ",无,无,False,无,2020-10-14 09:05 ,vivo Y3 闪充强续航,0,0,0
Jp75n4YEV,师傅的相声社,师傅的相声社:#尚九熙# #郭麒麟# 九熙直播连线大林~9C，请多喝热水~（直男警告！！！）我太吃这个发型了~ 师傅的相声社的微博视频  ,无,无,True,无,2020-10-14 09:04 ,微博云剪,152,10,8
Jp7448c1X,ANN暗影,ANN暗影:#尚九熙[超话]#✨ #尚九熙德云断头台# “让我看看现在几点了”截修，仅可二传（二传注明出处）其他all禁🙏  [组图共2张] 原图 ,无,无,True,无,2020-10-14 09:01 ,尚九熙超话,23,0,9
Jp728qu75,W清扬,W清扬:#尚九熙[超话]# 在手心上的小企鹅，早上好！#尚九熙[超话]# [微風]#别人模仿不了的是尚九熙# [微風]#尚九熙德云断头台#  原图 ,无,无,True,无,2020-10-14 08:56 ,尚九熙超话,14,0,2
Jp6VAnUCJ,不爱喝旺仔了,不爱喝旺仔了:#成都租房[超话]#沙河壹号一期🏠温馨小次卧🌈大衣柜，有空调菜市场就在楼下🍃出门有直达春熙路、桐梓林的公交🚌到地铁站也只要八九分钟🚅  [组图共6张] 原图 ,无,无,True,无,2020-10-14 08:40 ,成都租房超话,0,0,0
Jp6Np3AP8,天眼少女阿蕾格ssS,天眼少女阿蕾格ssS:最近有点太喜欢尚九熙了。可能裂穴虐粉有加成吧。我还是控制一下，本来我喜欢的第一梯队是壮壮大林，九字科的九郎九良九熙九泰好感差不多的。也可能另外几个最近确实不怎么营业吧。也可能因为字幕组，因为熙家字幕组作品确实牛逼，图像清晰声音清楚标志明显。良家的我不是很喜欢开头，不是说道理不对啊，是那个音乐我听着很不舒服，不知道哪里不对，人家做出来倒是挺用心的，而且饭饭很多陈年压箱底的东西，考古真的不错，我至今仍然认为16-18年是他俩巅峰。后来就少了很多感觉。总看人说听不清楚郎说话。我倒没觉得。其实我还挺喜欢他北京口音的。部分北京口音男生（据我观察）说话就这样，感觉发音位置靠下，比如小亮比如🍉 。而歪哥的发音重点在牙齿两侧。以及，林壮郎良泰都是几乎没有下巴的小圆脸，正是我今年以来最喜欢的男生长相（郎瘦到有点脱形了🥀 ）这里面九泰眼睛最大，所以九泰几乎就是我目前理想型的长相了（小罗伯特唐尼是我永远的理想型长相……所以你看，又是萝卜） ,无,无,True,无,2020-10-14 08:20 ,Android,0,0,0
Jp6MU4cFd,这一幅扇面画的水晶宫啊,"转发理由:九熙的衣柜A  
原始用户: 熙装_尚九熙style
转发内容: #尚九熙[超话]# 🐧#尚九熙私服# ""有人模仿我的脸 有人模仿我的面""(不是模仿我时尚的人不一定能模仿我的衣柜#别人模仿不了的是尚九熙# 不瞒着大家了，其实衣柜里藏的是我（@ 鹅，来鸭 来掰头[喵喵]  [组图共6张] 原图 ",无,无,False,无,2020-10-14 08:19 ,HUAWEI P30,0,0,0
Jp6ESpjow,是伊伊宝贝呀_,是伊伊宝贝呀_:哦！ 尚九 |  熙  他能来救救我嘛[淚]  ,无,无,True,无,2020-10-14 07:59 ,想听相声.iPhone 8,1,0,2
Jp6y0lA9j,尚九熙你什么时候翻我牌,尚九熙你什么时候翻我牌:#尚九熙[超话]##别人模仿不了的是尚九熙#  别人模仿不了的是尚九熙，是全世界最好的尚九熙，是温柔可爱的尚九熙，是常常让你惊喜的尚九熙，是全世界最好的尚九熙，是我最爱的尚九熙，是别人模仿不来的尚九熙[心]他，是尚九熙  ,无,无,True,无,2020-10-14 07:42 ,尚九熙超话,14,0,10
Jp61uuHoW,朱一龙先生是我的人,朱一龙先生是我的人:哎呦，不错哦！我在尚九熙超话荣升LV.8等级，获得了忠实粉丝头衔！想和我一样晋级么？~ 想知道就来#尚九熙[超话]#跟我聊聊吧~  ,无,无,True,无,2020-10-14 06:22 ,超话,0,0,0
Jp5Yd8whT,爆笑无下限,爆笑无下限:#德云斗笑社#【尚九熙 周九良】九熙说九良，是狂热下班爱好者 爆笑无下限的微博视频  ,无,无,True,无,2020-10-14 06:14 ,微博网页,5,0,1
Jp5BV8E5t,maggiemaizy,"转发理由:#别人模仿不了的是尚九熙# 是独一无二的尚九熙啊  
原始用户: 紫旋Morado_
转发内容: #尚九熙[超话]# [awsl] #别人模仿不了的是尚九熙# 你是值得我万里奔赴的，独一无二的少年📍拍于20191003法兰克福  [组图共9张] 原图 ",无,无,False,无,2020-10-14 05:19 ,熙熙宝贝的iPhone 11 Pro Max,0,0,0
Jp4Qs2DNG,咕噜噜啦噜噜,咕噜噜啦噜噜:哈哈懒得刷超话的后果就是发不了东西画了校服和小时候的九熙#尚九熙##尚九熙德云斗笑社#  [组图共2张] 原图 ,无,无,True,无,2020-10-14 03:22 ,iPad客户端,2,0,0
Jp476aFmm,呦呦鹿鸣荷叶浮萍喵,"转发理由:罗云熙身边的助理小洁，不行，颜值不过关。。。 but，桥豆麻袋，她写的助理日记还不错，可以拿出来买黑热搜，反正新粉不知道她是谁，还可以恶心一下女友粉。 经纪人希希，同理，颜值不过关，而且曝光太多，说了也没人信。 陈肸呢？熙九工作室不是有她吗，我看可以搞一波。  
原始用户: 呦呦鹿鸣荷叶浮萍喵
转发内容: 两年前，知乎上有个热门回答，是关于罗云熙的女朋友的，答案持续更新，时间人物地点细节都有，并且没有一句是假话。最后几乎所有人都相信罗云熙真的有个女朋友。最终答主公布，这位女生是崔丝塔娜。这并不是个抖机灵的答案，这是一位专业的答主做的一个测试，或者说是论证。一个谎言，加点时间人物地点细节，加点欲盖弥彰，再加上围观者的想象，就成真的了。一个游戏里的英雄都能成为女朋友，那么一个真实存在的人，当然也可以成为女朋友。于是罗云熙周边的人开始被搜罗。 ",无,无,False,无,2020-10-14 01:30 ,小米9,1,0,0
Jp41MCHQH,Yang紫欣_,Yang紫欣_:#尚九熙[超话]#[微風]#别人模仿不了的是尚九熙# [微風]#尚九熙德云断头台#      恭喜尚老师斩获250万头友   很开心我是这250万分之一 喜欢一个人就是看到所有的美好都会想起他烟火最亮的那一瞬间 月亮最清澈的洁的时候 海很辽阔风很舒服的时刻我很幸运  可以喜欢这样的你😊尚老师 250万福利考虑一下🤔 原图 ,无,无,True,无,2020-10-14 01:17 ,尚九熙超话,16,0,1
Jp3XZcTTD,综艺小跟班,综艺小跟班:哈哈 这个真有意思   孟鹤堂让杨九郎用屁股写“对不起”？ 这画面太搞笑了！哈哈哈哈！九熙：给你们省了“弹幕组”的钱！《》《》 #娱乐综艺#  综艺小跟班的微博视频  ,无,无,True,无,2020-10-14 01:08 ,微博视频,2,0,0
Jp3SlCH3w,卖火柴的小百合,卖火柴的小百合:#尚九熙[超话]# [给你小心心] #尚九熙德云断头台# 我来啦 精神小伙～9C  原图 ,无,无,True,无,2020-10-14 00:54 ,尚九熙超话,15,0,6
Jp3MF6vgA,Michelle想看遍世界,Michelle想看遍世界:#微博摄影大赛##摄影不凡##摄影金像奖# 打卡熙南里｜带你逛“锦麟市集”🌈·熙南里大板巷里的“锦麟市集”·💕新建不久的熙南里街区，地处夫子庙景区周围，内有九十九间半的“甘熙宅第”，乘着国庆长假热热闹闹的赶了一回“汉服”的“锦麟市集”噢🏮市集了到处装灯结彩，挂满了各种不同类型的灯笼帘和灯笼墙，夜幕降临大地，等所有灯笼集体亮灯后，真的特别好看；🕹没想到在这里的市集上还能看到“刻章”先生，记得小时候夫子庙还挺多的，那时候觉得这个刻章特别神圣，是大人的标志之一；🥑葫芦雕刻艺术，这也是许多年没看到过的一门传统手艺了，转了一圈发现这里居然还有根雕艺术家👨🏻🎨和玻璃吹喷艺术家👨🏻🎨，文化底蕴深厚。🍀🌸☘️🌺🌿🌼🎍🥀🍄🌷🍁💐🎋🌾🍀🌸📍地址：熙南里中山南路323号（一中斜对面）🚇交通：地铁一号线“三山街”站下⏰时间：每周五六日17:00开市💕推荐理由：不收门票🆓，夜景好看#带着微博去旅行##南京长江路越夜越恩正# @熙南里 @南京旅游志愿者 @南京城新鲜事@旧时南京@书写南京 @莫愁旅游@带着微博去旅行 @微博摄影 @秦淮文旅 @秦淮发布 @南京市绿化园林局 @议政金陵 @南京文旅 @南京发布 @江苏微旅游 @新浪江苏旅游 @微博江苏 http://t.cn/z8AIDRE 显示地图 [组图共18张] 原图 ,无,无,True,#摄影金像奖#,2020-10-14 00:40 ,雲鶴九芣霄iPhone XR,2,4,1
Jp3KIgafd,咩挪呀,"转发理由:有品味的九熙，赞一个@腾讯视频德云斗笑社 @尚九熙   
原始用户: 德云尚九熙宇宙后援团
转发内容: #尚九熙[超话]# [酷炫街舞给手]#尚九熙德云断头台# 直播背景音乐🎵http://t.cn/A6bSiw2x  赞[502] 原文转发[35] 原文评论[62]转发理由:有品味的九熙，",无,无,False,无,2020-10-14 00:35 ,HUAWEI P30 Pro,0,0,0
Jp3Kdezo2,咩挪呀,"转发理由:哈哈哈哈，多才多艺爱买包的九熙也蛮可爱！话不撂地的幽默银啊！圈粉圈粉！@尚九熙 @腾讯视频德云斗笑社  
原始用户: _熙望
转发内容: #尚九熙[超话]#直播总结。让画画，不画，画就不能抬头了。让出画册，他说没有时间画。让他唱歌，他说你自己去搜。让他看衣柜，他说衣柜里有人。让他上新，他说再冻一阵。让他别熬夜，他说熬夜上瘾。说要去小园子看他，他说别买溢价票，我不值那么贵的钱。那么小企鹅妈妈课堂开课了，孩子不听话咋么整！  原图 ",无,无,False,无,2020-10-14 00:34 ,HUAWEI P30 Pro,0,0,0
Jp3DLqse7,菁菁_Lovin,菁菁_Lovin:九熙和九华，老秦和九香分开了我太难过了  原图 ,无,无,True,无,2020-10-14 00:18 ,HUAWEI P40 Pro 5G,0,0,0
Jp3Cpcw9T,王某某07201,王某某07201:#尚九熙[超话]##尚九熙德云断头台# 分享一下喜欢的熙熙过程……我平时一个逛B站的，主页推选小辫的清水河，好奇心的我点进去，听听真不赖，越听也好听，听的多了，看得多了，大数据开始给我推送德云社的相声，开始在B站看相声，慢慢了解的越来越多，开始听孟周的相声，七队的相声，不期而遇尚九熙，那个时间你还没有自封德云断头台，听你的相声觉得有趣，知识点广，想要更加的了解你，知道你是八零后，北服的，爱画画，东北人，爱时尚，爱巴黎，爱逛街，把你的微博按照时间线，一条一条翻看，就更加的了解你，你是这个时尚阳光，单纯可爱，爱画画的，你更加向往传统艺术的演员，去年一年的时间你的付出与收获，我们都看在眼里，即心疼你的工作强度，同时也替你高兴，从断头台，小鸭子，小企鹅，到生蚝扇贝，从小专场，到12月的大专场，创作新节目，很高兴一路见证你前进的步伐，看到你过劳而肥，到后来你参加电视节目录制，拍杂志，你成绩是你赢来的，你不卖腐，你组不CP，你做到跟搭档在私下少有互动，你是尚宇直，我只是喜欢你的相声，我不粉你的CP，你开完专场就开始跟郭老师商演和跨年演出，主持大封箱，以为时间到了20年，你会更好，看团综不理解你说，小黄小绿你们听过尚九熙说单扣相声吗，是啥意思，熙熙现在所有磨难都是在锻炼你，熙熙辛苦了，未来可期，我们伴你一路，一起加油，努力，你是别人模仿不了的尚九熙#别人模仿不了的是尚九熙# http://t.cn/RyhCqoo 显示地图 [组图共2张] 原图 ,无,无,True,http://t.cn/RyhCqoo,2020-10-14 00:14 ,尚九熙超话,1,0,0
Jp3xT0BIR,以昱啊,以昱啊:#尚九熙[超话]##手写晚安尚九熙# Day23 今日份表白尚老师——“你在我生活的每分每秒” （图片词源：陈粒《虚拟》）  原图 ,无,无,True,无,2020-10-14 00:03 ,尚九熙超话,14,0,2
Jp3v8vx16,-招财进宝喜气洋洋,-招财进宝喜气洋洋:我会一直爱尚九熙.很爱很爱很爱.  [组图共4张] 原图 ,无,无,True,无,2020-10-13 23:57,nova5 人像超级夜景,1,0,0
Jp3u1Docn,嘻嘻我是西西襾,嘻嘻我是西西襾:尚九熙和何九华分开后 第一场小园子黑大褂寸头，何九华和尚九熙分开后 第一场小园子黑大褂顺毛。两个人默契到演出都是选的第一次合作的大褂发型，咋就不合作了呢  ,无,无,True,无,2020-10-13 23:54,HUAWEI P40 5G,4,0,0
Jp3rYnCwq,我想去德云社扫地,我想去德云社扫地:#尚九熙何九华[超话]# 昨晚梦到和一堆人一起出去玩顺便撮合他俩和好，梦里还浪费我不少脑细胞，最后的场景是九华带着哭的可怜又委屈巴巴的九熙从台阶上向我走过来，问哄好了吗，九华说没 不过快了但愿是快了，人生中第一场小园子就是他俩，还想再看几次，不想成了我的意难平  ,无,无,True,无,2020-10-13 23:49,尚九熙何九华超话,2,0,0
Jp3rB22P0,YY柠檬不酸吖,YY柠檬不酸吖:#尚九熙何九华[超话]#就是这一张唉，九熙的胳膊抬起来了  [组图共2张] 原图 ,无,无,True,无,2020-10-13 23:48,尚九熙何九华超话,8,0,0
Jp3otu6Zi,linirxixixixi,"转发理由:九熙好牛逼 我好疲惫  
原始用户: 老抚顺字幕组
转发内容: 老抚顺字幕组 第一弹201004 湖广《论梦》表演者:尚九熙 吴志徉（视频未经允许 禁止二传二改商用）视频授权：@三明治恋情 听写校对打轴：@linirxixixixi 片头：@壹佰本佰 作为只有两个人的字幕组，所以视频一直拖啊拖，终于发出来了！ 【如字幕发现错字落字，请自动忽略，mua】  http://t.cn/A6bKXRo0 ",无,无,False,无,2020-10-13 23:40,hyukjae的iPhone 11(白色),1,0,3
Jp3iL9fxj,Cassive_Roll,Cassive_Roll:#尚九熙[超话]##别人模仿不了的是尚九熙# sjx#尚九熙德云断头台# 紧赶慢赶终于搞出来了！当帅气长腿学长邀你共骑单车你选择:  YES     NO图片参考@晋在咫尺346 原博http://t.cn/A6bJ3hH7  原图 ,无,无,True,无,2020-10-13 23:26,尚九熙超话,135,6,46
Jp3iKyJoL,致亲爱的温晚安好梦,"转发理由:要是真的，就笑死人不偿命了//@爱你一生守你一生:一个费自己，一个费搭档，节目名字《论张九南是如何凭空消失的》//@青瓜味的柠檬草:真去六队的话，想看九熙九南搭一场  
原始用户: 郎鹤炎
转发内容:   [组图共2张] 原图 ",无,无,False,无,2020-10-13 23:26,HUAWEI nova 3,0,0,0
Jp3dm1Q1V,王某某07201,王某某07201:#尚九熙[超话]##尚九熙德云断头台##别人模仿不了的是尚九熙# 别↔我不知人↔断头台模↔艺术家仿↔小可爱不↔小达人了↔小气质的↔小画家是↔推广者尚↔小朋友九↔赐艺名熙↔小幸福 漯河  显示地图 原图 ,无,无,True,#别人模仿不了的是尚九熙#,2020-10-13 23:13,尚九熙超话,11,0,0
Jp38NAy8h,窗边凝望,"转发理由:#别人模仿不了的是尚九熙#头友们对九熙的也是别人都模仿不来的哟  
原始用户: 有狗万事足
转发内容: #尚九熙[超话]##别人模仿不了的是尚九熙#  [组图共3张] 原图 ",无,无,False,无,2020-10-13 23:02,iPhone客户端,0,0,0
Jp38M717Q,放空天际,放空天际:#尚九熙[超话]##别人模仿不了的是尚九熙#独一无二尚九熙 沈阳  显示地图 原图 ,无,无,True,#别人模仿不了的是尚九熙#,2020-10-13 23:01,尚九熙超话,5,0,3
Jp386r0sT,皮卡皮卡1106,皮卡皮卡1106:九熙的相声节奏太快了  ,无,无,True,无,2020-10-13 23:00,小米10 Pro,0,0,2
Jp34CF3kL,芝麻粒x,芝麻粒x:#尚九熙#自从九熙吃完鸡翅  我真的每天都超想吃   还是一口放嘴里把骨头拿出来的那种  ,无,无,True,无,2020-10-13 22:51,HUAWEI nova 3i,0,0,0
